yyyymm,Index,D12,E12,b/m,tbl,AAA,BAA,lty,ntis,Rfree,infl,ltr,corpr,svar,csp,CRSP_SPvw,CRSP_SPvwx
200006,1454.6,16.704,51.92,0.1567779616,0.0569,0.0767,0.0848,0.0622,0.0071242127,0.004,0.0052478134,0.0244,0.0326,0.0023597572,-0.0002467433,0.026219,0.025497
200007,1430.83,16.585,52.5133,0.155674151,0.0596,0.0765,0.0835,0.0611,0.0047122339,0.0048,0.0023201856,0.0173,0.0179,0.0020654329,7.159e-06,-0.012795,-0.013559
200008,1517.68,16.466,53.1067,0.146053064,0.0609,0.0755,0.0826,0.0594,0.0046746382,0.005,0.0,0.024,0.0135,0.0010392529,-0.0002776155,0.062594,0.061275
200009,1436.51,16.347,53.7,0.1537894629,0.06,0.0762,0.0835,0.0612,0.0044689258,0.0051,0.0052083333,-0.0157,0.0046,0.0015999952,-0.0005084875,-0.052088,-0.052795
200010,1429.4,16.3217,52.4667,0.1493007889,0.0611,0.0755,0.0834,0.06,0.0037442804,0.0056,0.0017271157,0.0187,0.0045,0.0055682093,-0.0013389528,-0.00412,-0.004829
200011,1314.95,16.2963,51.2333,0.1572808929,0.0617,0.0745,0.0828,0.0576,0.0011574522,0.0051,0.0005747126,0.0319,0.0263,0.0032724144,-0.0018525551,-0.078268,-0.079557
200012,1320.28,16.271,50.0,0.1518515036,0.0577,0.0721,0.0802,0.0558,-0.0022617472,0.005,-0.0005743825,0.0243,0.027,0.0052992481,-0.000524853,0.00572,0.004861
200101,1366.01,16.1717,48.48,0.1504496662,0.0515,0.0715,0.0793,0.0562,-0.0031925908,0.0054,0.0063218391,0.0005,0.0359,0.004941018,-0.0015650504,0.032372,0.031555
200102,1239.94,16.0723,46.96,0.1560700913,0.0488,0.071,0.0787,0.0549,-0.0068557205,0.0038,0.0039977156,0.0191,0.0127,0.0025284102,-0.0022728464,-0.090952,-0.092131
200103,1160.33,15.973,45.44,0.1331135514,0.0442,0.0698,0.0784,0.0559,-0.0052134444,0.0042,0.0022753129,-0.0074,-0.0029,0.0071395945,-0.0018640665,-0.063706,-0.064587
200104,1249.46,15.8773,42.5567,0.1224969006,0.0387,0.072,0.0807,0.0593,-0.0025430255,0.0039,0.0039727582,-0.0313,-0.0128,0.0074262611,-0.0010245789,0.077824,0.076981
200105,1255.82,15.7817,39.6733,0.120510188,0.0362,0.0729,0.0807,0.0594,-0.0002482857,0.0032,0.004522329,0.0037,0.0132,0.0025362374,-0.0011840987,0.006859,0.00533
200106,1224.42,15.686,36.79,0.1252094328,0.0349,0.0718,0.0797,0.059,0.0050407545,0.0028,0.0016882386,0.0085,0.0055,0.0015083583,-0.0015922058,-0.024505,-0.025183
200107,1211.23,15.7027,33.9633,0.1249665833,0.0351,0.0713,0.0797,0.0561,0.0079138367,0.003,-0.0028089888,0.0376,0.0361,0.0028996134,-0.0020270501,-0.009317,-0.010248
200108,1133.58,15.7193,31.1367,0.1321641438,0.0336,0.0702,0.0785,0.0546,0.0099183208,0.0031,0.0,0.0206,0.0156,0.0022215212,-0.0026412673,-0.063435,-0.064933
200109,1040.94,15.736,28.31,0.1486285882,0.0264,0.0717,0.0803,0.0542,0.008652734,0.0028,0.0045070423,0.0081,-0.0152,0.0071675937,-0.001822915,-0.080361,-0.081352
200110,1059.78,15.7373,27.1033,0.1449013996,0.0216,0.0703,0.0791,0.0506,0.0107492736,0.0022,-0.003365115,0.0464,0.0437,0.0032497725,-0.0013347395,0.01954,0.018546
200111,1139.45,15.7387,25.8967,0.1334813667,0.0187,0.0697,0.0781,0.0553,0.0111617665,0.0017,-0.0016882386,-0.0471,-0.0188,0.002189358,-0.0010598798,0.078787,0.077259
200112,1148.08,15.74,24.69,0.1312178459,0.0169,0.0677,0.0805,0.0575,0.0134648247,0.0015,-0.003945885,-0.0183,-0.009,0.0017979581,-0.0013361672,0.009051,0.007849
200201,1130.2,15.7367,24.6933,0.1325605487,0.0165,0.0655,0.0787,0.0569,0.0111912895,0.0014,0.0022637238,0.0138,0.0175,0.0021838795,-0.0020042449,-0.014324,-0.01532
200202,1106.73,15.7333,24.6967,0.1301190857,0.0172,0.0651,0.0789,0.0563,0.0124990208,0.0013,0.0039525692,0.0115,0.013,0.002567843,-0.0018207545,-0.019481,-0.020973
200203,1147.39,15.73,24.7,0.2368334023,0.0179,0.0681,0.0811,0.0604,0.0137594442,0.0013,0.005624297,-0.0436,-0.0295,0.0020148209,-0.0022385902,0.037572,0.03669
200204,1076.92,15.833,25.38,0.2477323126,0.0171,0.0676,0.0803,0.0575,0.015106854,0.0015,0.0055928412,0.041,0.0253,0.002319778,-0.0020475182,-0.061001,-0.061826
200205,1067.14,15.936,26.06,0.2482556141,0.0173,0.0675,0.0809,0.0578,0.0222773404,0.0014,0.0,0.0015,0.0113,0.0041016102,-0.002141779,-0.0078,-0.009438
200206,989.81,16.039,26.74,0.2665725018,0.017,0.0663,0.0795,0.0566,0.0275227705,0.0013,0.0005561735,0.0187,0.0073,0.0037079467,-0.0026067905,-0.071349,-0.072611
