date,dp,ep,bm,ntis,tbl,tms,dfy,svar
1993-05-01,-3.5832772919180753,-3.1392552503061664,0.3248824215,0.0402546288,0.0296,0.040499999999999994,0.007800000000000001,0.0008173082
1993-06-01,-3.582857713924109,-3.148766374285765,0.3259312476,0.0411540214,0.0307,0.03609999999999999,0.00739999999999999,0.0005738514
1993-07-01,-3.5776202296908415,-3.124972476241721,0.3237770308,0.0410077869,0.0304,0.03520000000000001,0.007599999999999996,0.0006089625
1993-08-01,-3.611584499419972,-3.1407066727136126,0.3138649833,0.0401929369,0.0302,0.032100000000000004,0.007499999999999993,0.0002815688
1993-09-01,-3.601650202706259,-3.112872716162031,0.3223518215,0.0418407109,0.0295,0.03320000000000001,0.0068000000000000005,0.0004706748
1993-10-01,-3.6193170222372624,-3.1081979408203675,0.3113628329,0.0403671364,0.0302,0.032100000000000004,0.006400000000000003,0.0003142271
1993-11-01,-3.6047762190378494,-3.0718735377606707,0.3110794108,0.0438375603,0.031,0.034100000000000005,0.007300000000000001,0.0005763517
1993-12-01,-3.613281084341952,-3.0591209218721986,0.3052672229,0.0457268699,0.0306,0.0348,0.007599999999999996,0.0002696821
1994-01-01,-3.64182802927731,-3.07869689013908,0.2880585672,0.0436711352,0.0298,0.033900000000000007,0.007300000000000001,0.0004234883
1994-02-01,-3.6078893655089392,-3.035930987592574,0.2990588209,0.0450411316,0.0325,0.035699999999999996,0.0068000000000000005,0.0010260765
1994-03-01,-3.5576501012139685,-2.9769977678188986,0.3074838051,0.0419050878,0.035,0.03749999999999999,0.006499999999999992,0.0008921025
1994-04-01,-3.5657600211317533,-2.952566661215472,0.3036647862,0.0398456593,0.0368,0.0377,0.006400000000000003,0.001373668
1994-05-01,-3.574767178185879,-2.930257737963018,0.2974694757,0.0396410671,0.0414,0.034499999999999996,0.0063,0.0007505029
1994-06-01,-3.5442566713944177,-2.869588491200144,0.3084170767,0.033995564,0.0414,0.036,0.0068000000000000005,0.0007971327
1994-07-01,-3.5729588536596095,-2.8727858921457963,0.2969853808,0.0312112174,0.0433,0.0313,0.0068999999999999895,0.0003272825
1994-08-01,-3.607628062003333,-2.8827040690184793,0.2856838193,0.0287065182,0.0448,0.0313,0.0067000000000000115,0.0005603876
1994-09-01,-3.5780918384121305,-2.8291155080152084,0.2909046586,0.0290032948,0.0462,0.033800000000000004,0.006400000000000003,0.000801893
1994-10-01,-3.5923632695298426,-2.810627113546189,0.2860712737,0.0260004953,0.0495,0.0314,0.0063,0.001158428
1994-11-01,-3.545741287593467,-2.732684956475911,0.2989926143,0.022917147,0.0529,0.027899999999999994,0.006400000000000003,0.0008363991
1994-12-01,-3.5516967566569093,-2.708638263453764,0.2915683,0.0165942926,0.056,0.023899999999999998,0.006400000000000003,0.000704923
1995-01-01,-3.575684396932208,-2.711606536504987,0.2908537344,0.0150933699,0.0571,0.020900000000000002,0.006200000000000011,0.0002893766
1995-02-01,-3.6111231081963044,-2.7264586141606952,0.2787300356,0.0145320951,0.0577,0.018100000000000005,0.005899999999999989,0.0004724141
1995-03-01,-3.6380855754204164,-2.733249722521028,0.3138765419,0.0143885983,0.0573,0.0182,0.0058,0.0004843058
1995-04-01,-3.660837028813699,-2.741755812951892,0.3019947008,0.0130124069,0.0565,0.017999999999999995,0.005699999999999997,0.0002569204
1995-05-01,-3.6917106046478185,-2.758713180888651,0.2922642542,0.010743778,0.0567,0.010999999999999996,0.005500000000000005,0.0010114421
1995-06-01,-3.7079869582179725,-2.761398696474297,0.2864296179,0.0082749191,0.0547,0.012300000000000005,0.006000000000000005,0.0006967643
1995-07-01,-3.7339463515120443,-2.7854454538485762,0.2771603672,0.0070611198,0.0542,0.014899999999999997,0.0063,0.0007732277
1995-08-01,-3.728324581995689,-2.7779422451439686,0.2830461347,0.0091214683,0.054,0.013400000000000002,0.006199999999999997,0.0002067297
1995-09-01,-3.7623729254775635,-2.8101250519881504,0.2724949976,0.006379353,0.0528,0.013499999999999998,0.006099999999999994,0.0003814536
1995-10-01,-3.752164533565487,-2.8167611210379024,0.2744202453,0.0122212523,0.0528,0.011300000000000004,0.0063,0.0004878173
1995-11-01,-3.7872039018496326,-2.8687517690594637,0.2571688515,0.0168709535,0.0536,0.0087,0.006599999999999995,0.0005461627
1995-12-01,-3.7993346720581638,-2.897949959269636,0.2550263829,0.0155265173,0.0514,0.008899999999999998,0.006699999999999998,0.0008205365
1996-01-01,-3.823823299844693,-2.9292607377704716,0.2418771721,0.0161278629,0.05,0.0109,0.006600000000000009,0.0013839551
1996-02-01,-3.8231753575858467,-2.935388201149576,0.2378947371,0.0168013686,0.0483,0.017599999999999998,0.006400000000000003,0.0012676309
